iter	Passed	Remaining
0	6	6147
1	12	6062
2	17	5950
3	23	5929
4	29	5807
5	34	5792
6	41	5840
7	47	5843
8	52	5813
9	59	5845
10	64	5803
11	70	5805
12	76	5804
13	82	5806
14	89	5884
15	95	5890
16	101	5877
17	107	5856
18	112	5826
19	118	5824
20	125	5829
21	130	5818
22	136	5807
23	142	5810
24	148	5794
25	154	5783
26	160	5784
27	166	5772
28	172	5763
29	178	5756
30	183	5745
31	189	5731
32	195	5717
33	201	5718
34	207	5716
35	213	5706
36	219	5705
37	225	5698
38	230	5687
39	236	5681
40	242	5671
41	249	5683
42	255	5681
43	261	5678
44	267	5675
45	273	5672
46	279	5673
47	285	5670
48	292	5669
49	298	5666
50	304	5665
51	310	5663
52	316	5662
53	323	5665
54	329	5667
55	336	5667
56	342	5659
57	348	5667
58	355	5666
59	362	5676
60	370	5696
61	385	5829
62	398	5921
63	405	5925
64	415	5982
65	422	5985
66	429	5983
67	436	5980
68	442	5964
69	449	5965
70	455	5962
71	465	5996
72	472	5996
73	478	5992
74	485	5988
75	491	5981
76	498	5980
77	505	5970
78	511	5966
79	518	5957
80	524	5948
81	530	5941
82	537	5933
83	543	5930
84	550	5921
85	556	5910
86	562	5898
87	568	5892
88	575	5886
89	581	5881
90	589	5883
91	594	5871
92	601	5867
93	608	5865
94	614	5857
95	620	5847
96	627	5841
97	634	5838
98	640	5831
99	646	5822
100	652	5808
101	658	5797
102	665	5794
103	671	5784
104	677	5776
105	683	5766
106	690	5759
107	696	5753
108	703	5749
109	709	5744
110	716	5735
111	722	5726
112	728	5722
113	736	5720
114	742	5714
115	750	5720
116	757	5717
117	764	5714
118	771	5712
119	778	5707
120	784	5698
121	791	5693
122	797	5686
123	803	5677
124	809	5669
125	816	5663
126	822	5652
127	828	5643
128	834	5633
129	840	5624
130	847	5619
131	853	5610
132	859	5602
133	865	5594
134	871	5584
135	877	5577
136	883	5568
137	890	5561
138	896	5554
139	916	5630
140	922	5622
141	929	5614
142	934	5602
143	941	5598
144	948	5591
145	954	5582
146	960	5574
147	966	5563
148	972	5555
149	978	5545
150	984	5535
151	990	5527
152	996	5518
153	1002	5507
154	1008	5498
155	1014	5487
156	1020	5478
157	1026	5469
158	1032	5459
159	1038	5450
160	1044	5441
161	1050	5433
162	1056	5426
163	1062	5417
164	1068	5409
165	1075	5401
166	1081	5393
167	1087	5383
168	1092	5372
169	1098	5362
170	1104	5353
171	1110	5346
172	1116	5337
173	1122	5330
174	1128	5322
175	1134	5311
176	1140	5302
177	1146	5293
178	1152	5284
179	1157	5274
180	1163	5266
181	1169	5257
182	1176	5250
183	1181	5240
184	1188	5235
185	1194	5227
186	1200	5217
187	1206	5209
188	1212	5201
189	1217	5192
190	1224	5185
191	1229	5175
192	1236	5168
193	1242	5160
194	1248	5152
195	1254	5144
196	1260	5137
197	1266	5129
198	1272	5122
199	1278	5114
200	1284	5104
201	1290	5098
202	1297	5092
203	1303	5085
204	1309	5077
205	1316	5073
206	1322	5066
207	1328	5057
208	1334	5049
209	1346	5065
210	1352	5056
211	1358	5047
212	1363	5039
213	1370	5034
214	1376	5026
215	1382	5018
216	1388	5010
217	1394	5002
218	1400	4994
219	1406	4986
220	1412	4979
221	1418	4971
222	1424	4964
223	1430	4955
224	1436	4948
225	1442	4939
226	1448	4931
227	1454	4923
228	1460	4916
229	1466	4908
230	1472	4901
231	1477	4892
232	1484	4885
233	1490	4877
234	1495	4869
235	1501	4859
236	1507	4852
237	1512	4843
238	1519	4836
239	1524	4828
240	1530	4821
241	1536	4813
242	1543	4807
243	1550	4802
244	1556	4796
245	1562	4788
246	1568	4781
247	1574	4774
248	1580	4766
249	1586	4759
250	1592	4753
251	1598	4745
252	1605	4738
253	1610	4730
254	1616	4722
255	1622	4715
256	1628	4707
257	1634	4700
258	1640	4692
259	1646	4685
260	1652	4678
261	1658	4671
262	1664	4664
263	1670	4656
264	1675	4647
265	1681	4640
266	1687	4633
267	1693	4626
268	1699	4618
269	1705	4610
270	1711	4603
271	1717	4597
272	1724	4591
273	1730	4585
274	1736	4578
275	1742	4570
276	1748	4564
277	1754	4557
278	1760	4549
279	1766	4543
280	1772	4536
281	1779	4530
282	1785	4523
283	1791	4517
284	1798	4510
285	1804	4504
286	1810	4497
287	1816	4491
288	1823	4485
289	1829	4477
290	1835	4472
291	1841	4464
292	1847	4458
293	1854	4453
294	1860	4446
295	1866	4440
296	1873	4434
297	1879	4428
298	1886	4423
299	1893	4417
300	1899	4411
301	1905	4404
302	1911	4396
303	1917	4390
304	1923	4383
305	1929	4375
306	1934	4367
307	1940	4360
308	1946	4353
309	1953	4347
310	1959	4340
311	1965	4333
312	1971	4326
313	1977	4319
314	1983	4312
315	1989	4305
316	1995	4299
317	2001	4292
318	2007	4285
319	2013	4279
320	2019	4271
321	2025	4264
322	2031	4257
323	2037	4251
324	2043	4244
325	2050	4238
326	2056	4231
327	2062	4225
328	2069	4219
329	2075	4213
330	2081	4207
331	2087	4199
332	2093	4192
333	2099	4186
334	2105	4179
