iter	Passed	Remaining
0	9	9251
1	15	7915
2	21	7296
3	28	6982
4	35	6969
5	40	6765
6	46	6624
7	52	6558
8	58	6483
9	65	6435
10	71	6384
11	77	6362
12	83	6369
13	89	6317
14	95	6303
15	102	6287
16	108	6289
17	115	6284
18	121	6259
19	127	6234
20	133	6204
21	139	6187
22	145	6185
23	152	6216
24	159	6214
25	165	6204
26	172	6198
27	178	6192
28	184	6182
29	191	6181
30	197	6169
31	203	6164
32	210	6158
33	216	6138
34	222	6137
35	228	6128
36	234	6115
37	241	6112
38	247	6102
39	253	6088
40	259	6078
41	265	6066
42	272	6054
43	278	6041
44	284	6029
45	290	6017
46	296	6014
47	302	6003
48	308	5995
49	315	6002
50	322	5992
51	328	5985
52	334	5974
53	340	5960
54	346	5956
55	352	5946
56	358	5938
57	366	5944
58	371	5930
59	377	5921
60	384	5916
61	390	5903
62	396	5900
63	403	5897
64	409	5889
65	416	5889
66	422	5880
67	428	5875
68	434	5862
69	440	5853
70	446	5848
71	452	5831
72	458	5823
73	465	5819
74	471	5814
75	477	5807
76	484	5802
77	490	5795
78	496	5788
79	502	5775
80	508	5764
81	514	5754
82	520	5748
83	526	5741
84	532	5736
85	538	5725
86	544	5716
87	551	5713
88	557	5705
89	563	5698
90	569	5691
91	575	5682
92	581	5675
93	588	5669
94	594	5664
95	600	5657
96	607	5651
97	612	5641
98	618	5632
99	624	5624
100	630	5616
101	637	5609
102	642	5599
103	649	5594
104	655	5587
105	661	5580
106	667	5569
107	673	5560
108	679	5555
109	685	5549
110	692	5545
111	698	5540
112	704	5532
113	710	5524
114	716	5517
115	722	5509
116	728	5501
117	735	5494
118	741	5488
119	747	5479
120	753	5470
121	759	5467
122	766	5462
123	772	5454
124	778	5449
125	784	5440
126	790	5431
127	796	5425
128	802	5417
129	808	5410
130	814	5404
131	820	5396
132	826	5389
133	832	5382
134	838	5374
135	845	5370
136	851	5363
137	857	5357
138	863	5349
139	869	5342
140	875	5335
141	882	5331
142	888	5322
143	894	5315
144	900	5309
145	906	5303
146	912	5297
147	918	5289
148	928	5301
149	940	5326
150	949	5341
151	956	5337
152	963	5334
153	969	5328
154	978	5332
155	985	5330
156	991	5324
157	997	5314
158	1003	5306
159	1009	5300
160	1015	5294
161	1022	5287
162	1028	5280
163	1034	5272
164	1040	5264
165	1046	5257
166	1052	5251
167	1059	5244
168	1064	5236
169	1070	5228
170	1077	5221
171	1082	5211
172	1088	5204
173	1094	5197
174	1101	5190
175	1107	5185
176	1113	5176
177	1119	5169
178	1125	5164
179	1132	5157
180	1138	5149
181	1144	5141
182	1150	5135
183	1156	5129
184	1162	5122
185	1168	5115
186	1174	5107
187	1181	5101
188	1187	5094
189	1193	5090
190	1199	5081
191	1205	5074
192	1212	5068
193	1217	5059
194	1223	5052
195	1230	5046
196	1236	5039
197	1243	5034
198	1248	5026
199	1254	5019
200	1260	5010
201	1266	5002
202	1272	4997
203	1278	4989
204	1284	4982
205	1291	4977
206	1297	4970
207	1303	4963
208	1309	4957
209	1315	4949
210	1322	4943
211	1327	4934
212	1333	4926
213	1339	4921
214	1346	4914
215	1352	4907
216	1358	4902
217	1364	4894
218	1370	4887
219	1376	4881
220	1383	4874
221	1389	4870
222	1395	4863
223	1402	4856
224	1407	4849
225	1413	4841
226	1419	4834
227	1425	4827
228	1432	4821
229	1438	4817
230	1444	4809
231	1450	4802
232	1457	4796
233	1463	4789
234	1469	4783
235	1475	4776
236	1481	4770
237	1487	4763
238	1493	4756
239	1499	4749
240	1506	4744
241	1512	4736
242	1518	4730
243	1524	4723
244	1530	4716
245	1536	4709
246	1542	4703
247	1549	4697
248	1556	4693
249	1562	4686
250	1568	4680
251	1574	4672
252	1580	4665
253	1586	4658
254	1592	4653
255	1606	4668
256	1618	4677
257	1625	4674
258	1632	4671
259	1641	4671
260	1649	4669
261	1657	4668
262	1663	4661
263	1669	4654
264	1675	4647
265	1681	4641
266	1688	4634
267	1693	4626
268	1700	4620
269	1706	4613
270	1712	4606
271	1719	4602
272	1725	4594
273	1731	4587
274	1737	4580
275	1743	4572
276	1749	4565
277	1755	4558
278	1761	4552
279	1767	4545
280	1773	4538
281	1779	4530
282	1785	4523
283	1791	4517
284	1797	4509
285	1804	4505
286	1810	4497
287	1816	4491
288	1822	4484
289	1828	4476
290	1834	4469
291	1840	4462
292	1846	4456
293	1853	4450
294	1858	4442
295	1864	4435
296	1871	4429
297	1877	4422
298	1883	4415
299	1889	4409
300	1896	4403
301	1902	4396
302	1908	4390
303	1914	4383
304	1920	4376
305	1926	4370
306	1932	4363
307	1938	4355
308	1944	4349
309	1951	4344
310	1958	4338
311	1964	4332
312	1970	4325
313	1976	4318
314	1982	4311
315	1989	4305
316	1995	4298
317	2001	4291
318	2007	4285
319	2013	4278
320	2019	4270
321	2024	4263
322	2030	4256
323	2037	4250
324	2043	4243
325	2049	4237
326	2055	4230
327	2061	4224
328	2067	4217
329	2073	4210
330	2079	4203
331	2086	4197
332	2092	4191
333	2099	4185
334	2104	4178
335	2111	4171
336	2117	4166
337	2124	4160
338	2130	4153
339	2136	4148
340	2143	4141
341	2149	4134
342	2155	4128
343	2161	4120
344	2167	4115
345	2173	4108
346	2180	4102
347	2186	4096
348	2192	4090
349	2199	4084
350	2205	4077
351	2211	4071
352	2218	4065
353	2224	4059
354	2230	4052
355	2236	4046
356	2242	4039
357	2248	4032
358	2254	4025
359	2260	4019
360	2267	4013
361	2273	4006
362	2279	4000
363	2285	3993
364	2291	3986
365	2297	3979
366	2303	3973
367	2310	3967
368	2316	3961
369	2322	3954
370	2328	3948
371	2334	3941
372	2341	3935
373	2347	3928
374	2353	3922
375	2359	3915
376	2365	3909
377	2372	3903
378	2377	3896
379	2383	3889
380	2390	3883
381	2396	3877
382	2402	3869
383	2408	3864
384	2415	3858
385	2421	3852
386	2427	3845
387	2433	3838
388	2439	3831
389	2445	3825
390	2451	3818
391	2458	3813
392	2464	3806
393	2470	3800
394	2476	3792
395	2482	3785
396	2488	3779
397	2494	3772
398	2500	3767
399	2507	3760
400	2513	3754
401	2519	3748
402	2525	3741
403	2531	3735
404	2538	3728
405	2544	3722
406	2550	3716
407	2556	3709
408	2562	3703
409	2568	3696
410	2574	3689
411	2580	3682
412	2586	3676
413	2593	3670
414	2599	3663
415	2605	3657
416	2611	3651
417	2617	3644
418	2624	3638
419	2630	3632
420	2636	3625
421	2642	3619
422	2648	3612
423	2653	3605
424	2660	3598
425	2666	3592
426	2671	3585
427	2678	3579
428	2684	3572
429	2690	3566
430	2696	3560
431	2702	3553
432	2708	3546
433	2714	3540
434	2720	3533
435	2726	3527
436	2732	3520
437	2738	3513
438	2744	3507
439	2750	3500
440	2756	3494
441	2762	3487
442	2768	3480
443	2774	3474
444	2780	3467
445	2786	3460
446	2792	3455
447	2799	3448
448	2804	3441
449	2811	3435
450	2816	3428
451	2822	3422
452	2829	3416
453	2835	3409
454	2841	3403
455	2847	3396
456	2852	3389
457	2858	3383
458	2864	3376
459	2870	3370
460	2877	3364
461	2883	3357
462	2889	3351
463	2894	3344
464	2900	3337
465	2906	3330
466	2912	3324
467	2918	3317
468	2924	3311
469	2930	3304
470	2936	3297
471	2942	3291
472	2948	3285
473	2954	3278
474	2961	3272
475	2967	3266
476	2973	3260
477	2979	3253
478	2985	3247
479	2991	3240
480	2997	3234
481	3003	3227
482	3009	3221
483	3015	3214
484	3021	3208
485	3026	3201
486	3032	3194
487	3038	3188
488	3044	3181
489	3050	3175
490	3056	3168
491	3062	3162
492	3068	3155
493	3075	3149
494	3080	3143
495	3087	3136
496	3093	3130
497	3099	3124
498	3105	3117
499	3111	3111
500	3117	3104
501	3123	3098
502	3129	3092
503	3136	3086
504	3142	3079
505	3147	3073
506	3154	3067
507	3160	3060
508	3166	3054
509	3172	3048
510	3178	3041
511	3183	3034
512	3190	3028
513	3195	3021
514	3202	3015
515	3208	3009
516	3214	3003
517	3220	2997
518	3226	2990
519	3232	2983
520	3238	2977
521	3244	2970
522	3250	2964
523	3256	2958
524	3262	2951
525	3268	2945
526	3274	2939
527	3280	2932
528	3286	2925
529	3292	2919
530	3298	2913
531	3304	2907
532	3310	2900
533	3316	2894
534	3322	2888
535	3328	2881
536	3334	2875
537	3340	2868
538	3346	2862
539	3353	2856
540	3358	2849
541	3364	2843
542	3370	2836
543	3376	2830
544	3383	2824
545	3389	2818
546	3395	2811
